# 阿里达摩院 提交列表（纯文本视图）
# 共 286 个提交
# 生成时间: 2026-03-04 22:05:14
#
# 格式: 提交哈希 | 日期 | 原始作者 | 标题
------------------------------------------------------------------------------------------------------------------------
5a13db5e | 2024-06-18 | Esther Z | riscv: dts: Introduce lichee-pi-4a fixed regulator support.
385a960c | 2024-06-17 | zhangye | Enable XUANTIE ISA for memcpy performance
46688172 | 2024-03-27 | Chen Pei | riscv: build: Support compiling kernel using Xuantie toolchain
adf408e7 | 2024-06-17 | David Li | i2s: remove debug message
4b3f9c07 | 2024-06-17 | Xiangyi Zeng | riscv:dts: fix the aon gpio range configuration error
ae87813d | 2024-06-17 | Xiangyi Zeng | riscv:dts: fix spi/qspi1 cs pin duplicate configuration error
f3a29696 | 2024-06-17 | Xiangyi Zeng | riscv:dts: fix the gpio range configuration error
702a5c0f | 2024-06-16 | Esther Z | drivers: regulator: add th1520 AON virtual regulator control support.
a7fc8425 | 2024-06-16 | Esther Z | dt-bindings: add AON resource id headfile
77b186d8 | 2024-06-16 | Esther Z | drivers: pmdomain: support th1520 Power domain control.
dd8966f7 | 2024-06-15 | David Li | i2s: add i2s driver for XuanTie TH1520 SoC
071f0763 | 2024-06-15 | David Li | configs: xuantie: correct definition of SoC Architecture
d9349ef9 | 2024-06-11 | lst | i2c: designware: add support for hcnt/lcnt got from dt
cc66ccf3 | 2024-06-11 | xiaojin.cxj | add 902 share mem log
ff7b2b0d | 2024-06-05 | abing | refine thead,th1520-usb.yaml
c3b2a927 | 2024-06-05 | abing | drivers: usb: dwc3: add usb_mode usb_speed param for mode speed change when insmod ko
1fa257c4 | 2024-06-05 | abing | drivers: usb: add dwc3-thead.c
a5ed52b9 | 2024-06-05 | abing | th1520.dtsi: refine usb dts
9aa14cca | 2024-06-06 | Xiangyi Zeng | riscv:dts:thead: Add TH1520 event and watchdog device node
2df02063 | 2024-06-06 | Xiangyi Zeng | dt-bindings:wdt: Add Documentation for THEAD TH1520 pmic watchdog
a74703c1 | 2024-06-06 | Xiangyi Zeng | drivers/watchdog: Add THEAD TH1520 pmic watchdog driver
1a03b372 | 2024-06-06 | Xiangyi Zeng | dt-bindings:event: Add Documentation for THEAD TH1520 event driver
e5045d5d | 2024-06-06 | Xiangyi Zeng | drivers/soc/event: Add THEAD TH1520 event driver
9da792e2 | 2024-06-07 | xiaojin.cxj | fix rpmsg addr cast warning
257e76f1 | 2024-06-07 | xiaojin.cxj | fix lp32 compile warnoing for rpmsg
f513844e | 2024-06-07 | xiaojin.cxj | fix proc log warning
8a475629 | 2024-06-06 | xiaojin.cxj | fix rpmsg warning
888d73c6 | 2024-06-06 | xiaojin.cxj | add c906 audio support
78dd30e2 | 2024-06-05 | xianbing Zhu | net:stmmac: increase timeout for dma reset
d5d2bdf1 | 2024-06-05 | xianbing Zhu | stmmac:dwmac-thead: add support for suspend/resume feature
3c74a103 | 2024-06-04 | xianbing Zhu | net:dwmac-thead: dd ptp clk set and enable
34caa689 | 2024-06-05 | Esther Z | configs: Enable th1520 mailbox.
449612a0 | 2024-06-04 | Esther Z | drivers:ipc: update th1520 rpc msg version 2
9f0e2e77 | 2021-08-10 | fugang.duan | firmware: thead: c910_aon: add th1520 Aon protocol driver
14cea69e | 2024-06-04 | xianbing Zhu | mmc:sdhci-of-dwcmshc: th1520 add delay line in different mode and sdio rxclk delay
a5678199 | 2024-06-03 | xianbing Zhu | mmc:sdhci-of-dwcmshc: th1520 larger tuning max loop count to 128
a89b285e | 2024-05-31 | xianbing Zhu | dts: th1520: enable sdio1 for wifi card in lichee-pi-4a
48150add | 2024-05-31 | xianbing Zhu | mmc:sdhci-of-dwcmshc: th1520 sdhci add fix io voltage 1v8
371c5147 | 2024-05-30 | xianbing Zhu | mmc:sdhci-of-dwcmshc: th1520 resolve accss rpmb error in hs400
c95b74dc | 2024-05-30 | Xiangyi Zeng | drivers/dmac: add pm suspend/resume for dma driver
5843d077 | 2023-08-21 | David Li | audio: th1520: add dma chan str for dmaengine
6ce28650 | 2024-05-30 | Xiangyi Zeng | riscv: dts: thead: Add THEAD TH1520 dmac1 and dmac2 device node
774a63b7 | 2023-08-22 | sanyi | STR: fix pca953x resume bug
8378088e | 2024-05-28 | Xiangyi Zeng | drivers/iio/adc: add sysfs_remove_file when adc driver removed
b16eabaa | 2024-05-27 | Xiangyi Zeng | drivers/pvt: add mr75203 driver pm feature and correct temperature coefficient
29d91d62 | 2024-05-27 | Xiangyi Zeng | riscv: dts: thead: Add THEAD TH1520 SPI/QSPI device node
